epoch,train_logmel_l1,train_logmel_mse,train_energy_l1,train_onset_l1,train_loss,val_logmel_l1,val_logmel_mse,val_energy_l1,val_onset_l1,val_loss
1,0.09508545938134193,0.07878100557252765,5.077198849201203,0.3187139901518822,0.24781159171462058,0.0695144797116518,0.056969328448176385,3.432430728673935,0.2589219780266285,0.20151454001665114
2,0.08318543619662523,0.06292512151971459,4.128847993373871,0.28684610706567765,0.21999615707993508,0.06808868814259768,0.05542748031206429,3.484783524274826,0.2553495655953884,0.19999168865382672
3,0.07900798290222884,0.05867510759085417,3.9063035798072816,0.28083785432577135,0.2119025303721428,0.06554663544520736,0.05260049780830741,3.3054925137758255,0.2501131843775511,0.1942365598678589
4,0.0766649331226945,0.05608313324674964,3.8288213596343996,0.27931595131754877,0.20706069234013558,0.07006772451102733,0.04783056646119803,3.1140134036540985,0.25684583649039266,0.18418544322252273
5,0.07358827028423548,0.053190576922148465,3.6448496618270876,0.27638178384304046,0.20013166254758835,0.06970354679971934,0.04667093383148312,3.225188683271408,0.2544047608226538,0.1817858739942312
6,0.07390043766796589,0.052864423211663965,3.744694386005402,0.2765820622742176,0.2008064644932747,0.06550305709242821,0.04651583228260279,3.219887315034866,0.25193344563245773,0.18323828600347042
7,0.0706743194013834,0.04970435366407037,3.5303872890472414,0.27392125979065896,0.19443716809153558,0.06015172904357314,0.04745812830515206,3.3742109155654907,0.24878654181957244,0.18604690358042716
8,0.07009651236981153,0.04883788733556867,3.5169856204986574,0.2734684550464153,0.1928571131527424,0.0715964464098215,0.044393727681599555,3.489686360359192,0.25209280766546727,0.18064381517469882
9,0.06909469606727361,0.04781999011337757,3.491797369003296,0.2722484049499035,0.19064518481492995,0.06367283664643765,0.042002933085896074,3.0632552433013918,0.25157462067902087,0.17345518469810486
10,0.06710281951725483,0.04596402714401483,3.3644908933639526,0.27093487134575844,0.18642345961928367,0.06545552523806691,0.041535204225219786,3.087133693695068,0.24929687015712262,0.17237392753362657
11,0.06664874756336212,0.04568475983291864,3.362406138896942,0.271037756472826,0.18584710615873337,0.06776669710874557,0.04288694653660059,3.3083663773536682,0.25199696034193036,0.1782799905538559
12,0.06792444522678852,0.04600041466206312,3.4709812879562376,0.2719731088280678,0.18807202115654945,0.058228957764804364,0.041428135097958146,2.9842213612794874,0.2461071202903986,0.172068012394011
13,0.06636663633584976,0.044889764923602346,3.3737008628845215,0.27044200837612153,0.1845458751320839,0.06559028565883636,0.0430875691305846,3.2746099066734313,0.250834101960063,0.1754506678879261
14,0.06585680616647005,0.044333168391138315,3.3466073789596558,0.269544303804636,0.18333468529582023,0.06099648332223296,0.04010874224826694,3.0014313077926635,0.24751078598201276,0.16976989828050137
15,0.0650860206335783,0.04370430478826165,3.2946125893592835,0.26948069217801096,0.18203985634446143,0.06669210644438862,0.041843226770870386,3.2652573347091676,0.2486137091368437,0.17328834697604178
16,0.06338172203302384,0.04218684660643339,3.187155290365219,0.26822403049468996,0.17809512019157409,0.05801568863913417,0.03895283681340515,2.862788597345352,0.2455565819889307,0.1660649985074997
17,0.0643643749281764,0.04315680227428675,3.281330066680908,0.26840579506754875,0.1805165618956089,0.05568094624206424,0.04020891909021884,2.9568492692708968,0.24748733699321745,0.16872431311756372
18,0.06382379680126905,0.04255653832480311,3.241201602458954,0.2683186555206776,0.1791022265255451,0.057225021477788685,0.03855748196132481,2.865725570321083,0.24516549289226533,0.1650620521605015
19,0.06283037949353457,0.041655617993325,3.168644927740097,0.2681663839519024,0.17662116977572442,0.05689964611083269,0.03871299264952541,2.8816405642032623,0.24480795912444592,0.16542499661445617
20,0.06322588732838631,0.041862964063882825,3.203035948753357,0.2682246572077274,0.1778683891892433,0.05667941039428115,0.03852119459304958,2.885605571269989,0.24409406758844854,0.16567145742475986
