epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss
1,0.06167053893525153,0.030459119961736725,0.034308251325879245,0.0022114831954299008,0.7235229327261448,0.17732038989663124,0.051466790542006494,0.025465596029069275,0.028347883031703533,0.0020650314386293756,0.6612373161315918,0.16087072111666204
2,0.05434344929605722,0.025217556518130003,0.028878739311359824,0.002074085143220145,0.6623777745306492,0.16042995109707117,0.052047821272164584,0.024160878501832486,0.027180558541789652,0.002092421242443379,0.6585323159694672,0.15625417071580888
3,0.052598669615387915,0.02400681401998736,0.027313029384892433,0.0020311519092298114,0.64782338270545,0.15600080358833074,0.05060487229935825,0.023612748427316546,0.026295195249374955,0.0019206060456344858,0.6450675260424614,0.15371574508398772
4,0.05181259787622839,0.02352283950848505,0.026939643255528063,0.002006612861668691,0.6439870632708072,0.15431523959934712,0.049992719067260626,0.023015731895342468,0.02655230386648327,0.0019321030377177522,0.6523429795503616,0.15256813427805901
5,0.05123512993901968,0.02310976962861605,0.02637293981271796,0.0019920052488916554,0.6398514413535595,0.15286096330955626,0.04853584049828351,0.022890615778509527,0.02706054004561156,0.0019224127213237807,0.6398906361460686,0.15264451864361764
6,0.05077624116074294,0.022806377937318757,0.026038352015428246,0.0019842308879771736,0.6341677746653557,0.15166086747273802,0.050485570825636386,0.02251019806880504,0.02571531485300511,0.0019067769490648061,0.6366221607923508,0.14987376564741134
7,0.050414109510928395,0.022567724999669008,0.025760362907173113,0.0019751232705486474,0.6326179750919342,0.15089102677181362,0.049250844793394206,0.0227504559205845,0.025957651171833275,0.001928692666173447,0.6354815285205841,0.15071450394392014
8,0.0501979166386649,0.022400848711072466,0.02561935900640674,0.0019681717906030825,0.63053545088768,0.1503517155200243,0.04911050007678568,0.02211008330248296,0.02560935740545392,0.0019102094949339516,0.6320972199440003,0.14832963286340237
9,0.049960916568897666,0.022239543923549356,0.025403611731249838,0.001965657044085674,0.6298818176388741,0.1498605736300349,0.04880998230166733,0.022193849723320454,0.025173584091477096,0.0018785161965060978,0.631161047577858,0.14805570949614047
10,0.04970515468325466,0.02209546096411068,0.025178168315719812,0.0019589209775847847,0.625821333783865,0.1491129133924842,0.04842890820838511,0.022543443351751194,0.025601147158071397,0.0018996148394653575,0.6292320915460586,0.14932381337881087
11,0.049584515024349095,0.021989346728497186,0.02510482958755456,0.0019567596890963613,0.627250161254406,0.14885680828243494,0.048314176682382824,0.02206940798368305,0.024961653872858734,0.001875735571666155,0.6328971172571183,0.14781162355840205
12,0.049406124024279414,0.02187642780515598,0.024934249406214803,0.0019524388963531238,0.6245422232270241,0.14846931762844323,0.04837575237639248,0.021591818070504816,0.02483389058150351,0.0018828439173812512,0.6216341804862022,0.14677048428356648
13,0.04927897777799517,0.021770125907775946,0.02479801519648172,0.0019506149236811325,0.6227321776270867,0.14800967019945382,0.04786854158714414,0.02232702430244535,0.025795770209282635,0.0018897682670794894,0.6318743554949761,0.14931625218689443
14,0.049138830145448446,0.02167406494522584,0.024762969856755808,0.0019488680612004827,0.621073443710804,0.14778392961397768,0.04720274504087865,0.02156361172674224,0.024671552141197026,0.0018758719076577108,0.6211926137804985,0.14659890350699425
15,0.049012935938034206,0.021604273480153643,0.024632480364805087,0.001946669829741586,0.6201320268750191,0.14724987442940474,0.04979385074786842,0.02205955560784787,0.02584135796688497,0.0018991701792692767,0.622774012863636,0.14668205718696117
16,0.04888650263380259,0.02150011199025903,0.024422935974039137,0.0019435985703719779,0.618577537304163,0.1469863766118884,0.048586549770087,0.021595836031716317,0.02505936217494309,0.0019033545152051373,0.6221392323374748,0.14660630869865418
17,0.04884270805362612,0.02148303263457492,0.024497356718406083,0.0019401079316914548,0.6178867820799351,0.14688311595991255,0.05348600075021386,0.02340589104872197,0.02915566901722923,0.0018815245663863606,0.6295858130455018,0.1505142950117588
18,0.04871304217865691,0.021374348356970586,0.02434283671528101,0.0019402321317844326,0.6196936329007149,0.14675371581465005,0.04906512934342027,0.022114173766458408,0.025181984006427228,0.001880050187523011,0.6280164582133293,0.14678699940443038
19,0.04864311869908124,0.02132298141468782,0.024198829944292084,0.0019383729943365324,0.6164688425064087,0.14627642286643386,0.04831135568395257,0.021697322108317166,0.024589525557588785,0.0018619076261820737,0.6279913244247437,0.14595412861555815
20,0.048540728604607286,0.021239754240121693,0.024153623371059075,0.0019364571928046643,0.6158065554499627,0.14618915961831808,0.04649465211946517,0.021989348671166226,0.025626477959565817,0.001850288189103594,0.6270161747932435,0.1487579949349165
21,0.04849764084238559,0.02123372034667991,0.024141123870247975,0.0019352430999977515,0.6157313966453075,0.1460098768979311,0.046927334114909174,0.02135630676941946,0.024552401940338312,0.0018810378692578524,0.6199494441151618,0.14616937243938447
22,0.04841979693192989,0.021151407202193512,0.024046468097064642,0.0019336142977816053,0.6150690245807171,0.14588175745382906,0.04809063868224621,0.022078055401565506,0.025307411131449045,0.001883593951468356,0.6244697657227516,0.14676658288389444
23,0.04832597491061315,0.021091058318072464,0.02392241283026524,0.0019320071819936857,0.6127420966327191,0.14543738346099855,0.0474715900849551,0.021432695337571205,0.024651013288646936,0.0018981171088526024,0.6201778913736343,0.14583898554742336
24,0.048269938778318464,0.02105406532466877,0.02389391365237534,0.0019323453643068206,0.6127494190633297,0.1453837509892881,0.047324870236217974,0.021150164920371025,0.024285837396979332,0.0018556911885389126,0.619639007627964,0.14497375203669072
25,0.048208363215439025,0.021024979828530924,0.023847131823794915,0.0019289937532215844,0.6118447311401367,0.14525468446463347,0.0467209289316088,0.02159393713600002,0.0246502046501264,0.001845264113479061,0.620964455485344,0.1467039716541767
26,0.048208951459731905,0.020996552274539136,0.02381959014921449,0.0019289327792124823,0.6126271710097789,0.14525024414509535,0.047517242385074494,0.0211441922490485,0.024472076966427267,0.0018880132980411872,0.6203990501761436,0.1449538886398077
27,0.048141879021655766,0.020946487178397366,0.02375053875655867,0.0019280846754962113,0.6123352448642254,0.14506016330718993,0.04821500818245113,0.02128819807502441,0.024566038193181157,0.00186319719828316,0.6191738985180855,0.14495267473161222
28,0.048058984537050126,0.0209109256940661,0.023734846159350127,0.0019269573217956348,0.6111995821893215,0.1448613390058279,0.04665814202837646,0.021159839352127164,0.02437301138602197,0.0018620646102936007,0.6171464465260506,0.1451934564113617
29,0.048062092505209146,0.020886318576009946,0.023688736911537125,0.001928632054355694,0.6112591458261013,0.14485855745524168,0.04841378368996084,0.021788039402104914,0.02456078687030822,0.0018690307972428855,0.6276806225180626,0.14586233638226986
