epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss,val_base_stft_l1,val_base_stft_mse,val_base_energy_l1,val_base_onset_l1,val_base_spectral_convergence,val_base_loss
1,0.03784036965668201,0.013617852808907628,0.011643928433954715,0.001794511383678764,0.49681919927597046,0.11698651857376098,0.044818882152438164,0.02015055635944009,0.023531579695641996,0.0017974016047082842,0.6224069681167602,0.1421969565153122,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
2,0.037687384817004205,0.013539148106053472,0.011558063266798854,0.0017940613301005214,0.4937888119935989,0.11653488369584084,0.04423660020530224,0.019973558835685253,0.02309182756766677,0.001795807964168489,0.6219631123542786,0.1420435137152672,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
3,0.03762081892490387,0.013500852024182677,0.011490885590016842,0.0017936758583411575,0.49309075627326965,0.11634791726469994,0.04428065839409828,0.02002708511054516,0.023143437668681145,0.0017954913922585546,0.6225973076820374,0.14194648218154907,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
4,0.037575827164947985,0.013480359415709972,0.011450010903552174,0.0017932012456003577,0.4925925751209259,0.11622263678312302,0.044451142013072965,0.020122134741395712,0.02329336027055979,0.0017959053236991168,0.6262430138587952,0.1422190818786621,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
5,0.03755029239505529,0.013466593699902297,0.011430939193442465,0.0017930492779240012,0.4920327787876129,0.11611819036602974,0.04430962283909321,0.019969078339636327,0.023179628007113935,0.0017946253409609199,0.6218659920692444,0.14180321103334426,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
6,0.03752576975598931,0.013454806993715466,0.011411611783877016,0.0017927414054516703,0.4915476326704025,0.11604323737621307,0.04449340111017227,0.020010717645287515,0.02329647205397487,0.001795595595613122,0.6211917352676392,0.1416620047688484,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
7,0.03750762445777655,0.01344757284373045,0.011400328917428851,0.0017928840177599342,0.49225797989368436,0.11607305443286896,0.04427547462284565,0.019918702345341443,0.023151184316724537,0.0017950223772786559,0.6200668220520019,0.14152205049991606,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
8,0.03749634980559349,0.013442138715833425,0.011393462175875902,0.0017926119147799909,0.49155866441726687,0.1160242180109024,0.04427803854644299,0.019937572684139013,0.023174596328288315,0.0017935507390648127,0.6206610412597656,0.14168716776371001,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
9,0.03747376156449318,0.013429663461446762,0.011368370794504881,0.0017923694036435336,0.4909449120283127,0.11595242756605148,0.044491302132606506,0.020067179042845964,0.023367828119546175,0.0017944686515256763,0.6220155305862427,0.14193600022792816,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
10,0.03746215325295925,0.013422222713008523,0.011356685918197036,0.0017922808244358749,0.49053840720653535,0.11593665425777436,0.04432736498117447,0.02001056821271777,0.023207618106156586,0.0017936919038183986,0.6243228471279144,0.14189761382341384,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
11,0.037448235170543194,0.01341944246776402,0.01135775253251195,0.0017920907350257038,0.49125736763477323,0.11586221487522125,0.04416864261031151,0.019820074681192637,0.023036815840750933,0.0017933920808136463,0.6181753821372986,0.14131923323869705,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
12,0.03744454099684954,0.013416256038099527,0.011353790888562799,0.0017922695160843432,0.4903126648902893,0.11587953109145165,0.044401597529649735,0.020010616328567266,0.023313383147120476,0.001794552265200764,0.6216660053730011,0.1416990945339203,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
13,0.037429381251335145,0.013407368018850684,0.01132878738231957,0.001792225110856816,0.4905164438009262,0.1158105157136917,0.044365566030144694,0.020024243328720333,0.023284035474061965,0.0017928958116099239,0.6239532811641693,0.14184631139039994,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
14,0.0374277424544096,0.01340640460178256,0.011333871103823185,0.001791473525436595,0.49031804075241087,0.11584780011177064,0.04406271831691265,0.01984983992949128,0.023005858551710844,0.001795648152474314,0.6197663168907166,0.14147792267799378,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
15,0.037417890909314154,0.013402676698192954,0.011330180392041802,0.0017916320789139717,0.49029009907245635,0.11580637377500534,0.04445846223831177,0.020049113117158412,0.023369641806930304,0.001794381714425981,0.6222688009738923,0.14176532191038133,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
16,0.037416015020012856,0.01340033364854753,0.01133216618411243,0.001791327631380409,0.49039886815547945,0.11584434266090393,0.04420039343833923,0.019871044375002384,0.023098647344857455,0.0017925334093160928,0.6203540670871734,0.1414624465107918,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
17,0.03739872067943215,0.013391485543362796,0.011294731820374727,0.0017912707822863012,0.491101030254364,0.11577073761224747,0.04442240004241466,0.01996875385195017,0.02331681278347969,0.0017941215089522303,0.6208983948230743,0.1415533516407013,0.04504560866951943,0.02017804840579629,0.02349275143444538,0.001798438051249832,0.6236720285415649,0.14273757421970368
