epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss
1,0.05769295974913984,0.02829262606361881,0.03277600575024262,0.00222812656549504,0.7040252582490444,0.16982350632995366,0.051608168464154,0.023190984027460216,0.027085342437028884,0.0019942951939301563,0.6751230068802834,0.15391131296753882
2,0.05082923893816769,0.023106458976818248,0.026840789321344347,0.00204749389635399,0.6512498865902424,0.15327951294332742,0.04920855755917728,0.022495259255636484,0.02530257043708116,0.0019376495419419371,0.6509999392628669,0.14920711225271224
3,0.049320380759239196,0.022132129609258845,0.02585960993152112,0.0019979671299806797,0.6401765851974487,0.14964068907946348,0.04685772713087499,0.021000219637993724,0.02341984825162217,0.001918987321172608,0.6261287299394608,0.14445493738353252
4,0.048484558026865125,0.021524557245965116,0.025144743924820797,0.001975306702684611,0.6348809206187725,0.1475368892416358,0.049157800812274215,0.021552335730753838,0.026828206992708145,0.0018950583038968034,0.6417940400838852,0.14691129007935524
5,0.04770831117350608,0.02099545931974426,0.024504868237068878,0.0019596018454001753,0.6274239443659783,0.14556134805828333,0.04842507557943463,0.021065174472518267,0.025520543224178256,0.0018918490114738233,0.6310831852555275,0.14446757733076812
6,0.04718943750653416,0.02063666967942845,0.0241611438840162,0.0019487458347983192,0.6226278621435165,0.1441738375723362,0.048890536533668635,0.022012323551345615,0.026427061466500163,0.001905256439000368,0.6301222624182701,0.14510573198646307
7,0.04689214248768985,0.020456707744277082,0.023902507018484176,0.0019394320941180923,0.6182348283946514,0.14327249879315496,0.044881406845524906,0.02029781231936067,0.02294179280474782,0.0018867632677429355,0.6176126257181168,0.14098478501290082
8,0.04656166431568563,0.020212044649291782,0.023644505407614633,0.001934327835967997,0.6186392121315002,0.14261992291733622,0.04444198112934828,0.019750274717342108,0.022357471281662582,0.0018582963031658437,0.6117186846137047,0.14010200847685336
9,0.04615821978477761,0.01991628530009184,0.0232339994258713,0.001926767405413557,0.6144456163167954,0.14154594105109572,0.04474424928054214,0.020316823955625295,0.023295395554509015,0.0018811823019641452,0.6189633640646934,0.143274461761117
10,0.04590243425657973,0.019715793520165607,0.022897877893177793,0.0019222085548739414,0.612763981705904,0.14082278683707117,0.04567091925814748,0.019873131500091405,0.023421748287044467,0.0018453122437931597,0.622078804910183,0.14073779353499413
11,0.045477538866177204,0.01940226084170863,0.022415023670252412,0.0019191884036932605,0.6077950525283814,0.13971934844925998,0.046576605875045064,0.02017575040878728,0.024004530739039184,0.0018417103655810933,0.620250441133976,0.140883607044816
12,0.04513217291552574,0.01911164694058243,0.021921302990289406,0.001913803764845943,0.6023965583622456,0.13862646072357893,0.0448968162406236,0.019595212632790206,0.022451568683143706,0.0018308409819728696,0.6138539154529572,0.13959125800430774
13,0.04482163575394079,0.018845481801056302,0.021422082209866494,0.0019120895152998855,0.598549827760458,0.13759719839915632,0.044071157652884725,0.02004883869085461,0.023429162666667253,0.001859394156257622,0.616450930416584,0.14150886389613151
14,0.04445561023028567,0.018533434187003876,0.020873422054341062,0.0019076943294494412,0.5927092342436313,0.13639519594609736,0.044188748620450496,0.019632510223891585,0.02237824694532901,0.001840192446426954,0.6129586454033852,0.13995729005336763
15,0.04387977730296552,0.01807930648601614,0.019878231243835764,0.0019058820642356294,0.5858901668488979,0.13461725810542702,0.04704358852468431,0.021391168070957065,0.025641691634897143,0.0018392870772513561,0.6322444276213646,0.1436452622562647
16,0.04353336568959058,0.017758231212943794,0.019369856590684503,0.0019030745192139876,0.5805298924386502,0.1334293044678867,0.04675978487916291,0.020349275747314096,0.024481236722320318,0.0018504985862527973,0.6233197913765908,0.1416427998095751
17,0.043025902630575,0.01732271473912988,0.018475216984003784,0.0018986795849865303,0.5721105377078056,0.13169336371719836,0.045717211727052925,0.020992764508584515,0.0243468260448426,0.001849332949554082,0.6269768171310425,0.14370054173469543
18,0.042623537048790607,0.016986981171718797,0.01769726619576104,0.001893896208825754,0.5649377256631851,0.13012734969332815,0.045384236577898265,0.02056930393911898,0.023831642808858307,0.0018302997111750302,0.6292932650446892,0.14207139267027377
19,0.04221428733272478,0.01666621569294948,0.017014464604505338,0.0018904215056507383,0.5583572366118431,0.12876054763719438,0.04585131340846419,0.020870931250043214,0.024477850104682147,0.0018256805169803555,0.6292242795228958,0.1428531608581543
20,0.04193607931146398,0.01646052576311631,0.016656222209474072,0.0018880376744025852,0.5537923679172992,0.12792302078604698,0.04440041450969875,0.020560584000311792,0.023751683198381217,0.0018298022406816018,0.6205176011919975,0.1428600704073906
