epoch,train_logmel_l1,train_logmel_mse,train_energy_l1,train_onset_l1,train_loss,val_logmel_l1,val_logmel_mse,val_energy_l1,val_onset_l1,val_loss
1,0.2618215847760439,0.4255647175014019,18.072176456451416,0.691990252584219,0.4647962339222431,0.09664392098784447,0.08660958521068096,6.212655127048492,0.3549656793475151,0.2748372461646795
2,0.10897240042686462,0.08493396127596498,5.863177955150604,0.3248423635959625,0.26762964203953743,0.09021409600973129,0.08396931155584753,5.862906128168106,0.31838739290833473,0.26777471601963043
3,0.08986885845661163,0.08337709167972207,5.876274943351746,0.2965440936386585,0.27087609097361565,0.09614253975450993,0.08188866637647152,4.5910269021987915,0.281159870326519,0.2610698752105236
4,0.09733528736978769,0.08134990045800805,4.559107601642609,0.27609778195619583,0.2623961605131626,0.09161010757088661,0.07795798825100064,4.892906129360199,0.26522758044302464,0.2565433271229267
5,0.08924624510109425,0.07846946734935045,4.914769291877747,0.2673480212688446,0.2590969279408455,0.08791287802159786,0.07866345020011067,4.454434841871262,0.25845056399703026,0.25249091163277626
6,0.09133853483945131,0.07938192749861628,4.382805109024048,0.25914935395121574,0.24738682433962822,0.09022452030330896,0.07625586213544011,4.443118095397949,0.2546916175633669,0.25037403032183647
7,0.09570357017219067,0.0755131496116519,4.551265835762024,0.2566088754683733,0.25168217346072197,0.0842219302430749,0.07596476725302637,4.419230133295059,0.2525772098451853,0.24660754017531872
8,0.07975226920098066,0.07906777411699295,5.186394810676575,0.2534278370440006,0.25452689453959465,0.07632360467687249,0.07879710989072919,5.002602458000183,0.2522329445928335,0.2502343598753214
9,0.08116850443184376,0.07625843770802021,4.46422153711319,0.25428369641304016,0.2517581656575203,0.0963555108755827,0.07392718410119414,4.494051575660706,0.2552681565284729,0.25014047510921955
10,0.09498933423310518,0.07421629130840302,4.571053206920624,0.25959446281194687,0.24880154058337212,0.08847443480044603,0.07437952072359622,4.33195573091507,0.25896350108087063,0.2460728958249092
11,0.084214155562222,0.07472063414752483,4.203332304954529,0.25596387311816216,0.24803218990564346,0.07744936645030975,0.07616066397167742,4.4343195259571075,0.25294921174645424,0.2431892678141594
12,0.07929971814155579,0.07539921533316374,4.343523621559143,0.2527579739689827,0.24764423072338104,0.08477020729333162,0.07393963448703289,4.0047284960746765,0.25292608700692654,0.24099377915263176
13,0.09486479125916958,0.07306084944866598,4.171966016292572,0.2548343203961849,0.24258159659802914,0.08697487320750952,0.07299295789562166,4.055828511714935,0.2539540193974972,0.24079152196645737
14,0.0828167013823986,0.07644365727901459,4.804931491613388,0.2516784779727459,0.2405768558382988,0.08488018531352282,0.07571250875480473,4.102277040481567,0.25244238786399364,0.2449306733906269
15,0.09594724513590336,0.07312786020338535,4.045480132102966,0.2511679157614708,0.2479938194155693,0.10761772654950619,0.07129403227008879,4.06096476316452,0.25323415733873844,0.24745860695838928
16,0.09941985830664635,0.07265204563736916,4.013909578323364,0.2549685798585415,0.25043001025915146,0.08916715532541275,0.07437374605797231,3.6824875473976135,0.25322419591248035,0.24193097092211246
17,0.08559929486364126,0.07412345102056861,3.872434824705124,0.2529899887740612,0.24050414934754372,0.08823752216994762,0.07150185666978359,3.6959840655326843,0.2476623523980379,0.23583782278001308
18,0.09833255410194397,0.07176845939829946,4.047321677207947,0.2506828811019659,0.2348079551011324,0.08836033567786217,0.07158713135868311,3.5854321122169495,0.24962448701262474,0.2353317327797413
19,0.08731586392968893,0.07166816620156169,3.512899488210678,0.24936585128307343,0.23291106522083282,0.08429176080971956,0.07193461572751403,4.005052447319031,0.25128088891506195,0.23582103662192822
20,0.08674364071339369,0.07209638459607959,4.122498571872711,0.25301235169172287,0.23624629713594913,0.08782112970948219,0.07009150041267276,3.5135499835014343,0.2504570558667183,0.23046430386602879
21,0.0886260150000453,0.0700047635473311,3.5478786528110504,0.2510654963552952,0.23342176526784897,0.0968360798433423,0.0692931804805994,3.650923252105713,0.2549304496496916,0.2315231841057539
22,0.08984584826976061,0.0711824344471097,3.8573863804340363,0.2520766109228134,0.2322605550289154,0.08383396361023188,0.07122982246801257,3.5032619535923004,0.25300743244588375,0.23145520873367786
23,0.08582632057368755,0.07018349971622229,3.552416503429413,0.25355954468250275,0.23564642667770386,0.09967081248760223,0.06988030881620944,3.772876501083374,0.2572636902332306,0.23229514993727207
24,0.09509387891739607,0.07008681958541274,3.6788666546344757,0.256096038967371,0.22833789139986038,0.08423206023871899,0.06772580998949707,3.35394623875618,0.2518455255776644,0.22379965893924236
25,0.08164808340370655,0.07042518397793174,3.9271063804626465,0.2533952109515667,0.22195032238960266,0.078515715431422,0.0705016222782433,3.989600419998169,0.24745647981762886,0.23013855330646038
26,0.089599316008389,0.07107903878204525,3.8778426945209503,0.24659791588783264,0.2288833912461996,0.0966135123744607,0.06791112921200693,3.5499743223190308,0.2463659532368183,0.22798561677336693
27,0.08804549276828766,0.0696738725528121,3.8358505368232727,0.24908789992332458,0.23480074852705002,0.07847170485183597,0.07354474044404924,3.740851938724518,0.24886887334287167,0.2349632903933525
28,0.08275170437991619,0.07249097642488778,3.66292867064476,0.2485480234026909,0.22899070382118225,0.08593612536787987,0.06867406005039811,3.5135273933410645,0.24846474453806877,0.22821201011538506
29,0.08774423459544778,0.06818991573527455,3.4642409682273865,0.2490670643746853,0.22684362903237343,0.08929118886590004,0.06785644218325615,3.347095310688019,0.2503653820604086,0.22637026757001877
30,0.08771216310560703,0.06830002181231976,3.4939120411872864,0.2517717219889164,0.22889478132128716,0.09237425681203604,0.06690764962695539,3.4531962871551514,0.25365385599434376,0.2234465479850769
