epoch,train_logmel_l1,train_logmel_mse,train_energy_l1,train_onset_l1,train_loss,val_logmel_l1,val_logmel_mse,val_energy_l1,val_onset_l1,val_loss
1,0.18892390467226505,0.3154684342443943,13.576029658317566,0.6701434850692749,0.18892390467226505,0.09564975462853909,0.06076479237526655,7.291802287101746,0.20958538725972176,0.09564975462853909
2,0.07241510227322578,0.03678116528317332,4.422213315963745,0.18510833755135536,0.07241510227322578,0.0509451674297452,0.026846453081816435,2.3770089149475098,0.16833478957414627,0.0509451674297452
3,0.048523690551519394,0.027893309481441975,2.9451648592948914,0.1703370250761509,0.048523690551519394,0.04176762280985713,0.030459069879725575,2.9011169373989105,0.1708280611783266,0.04176762280985713
4,0.04193414282053709,0.027814807137474418,2.592349886894226,0.16749728098511696,0.04193414282053709,0.03989450866356492,0.028176731197163463,2.796485185623169,0.1654491387307644,0.03989450866356492
5,0.0436070179566741,0.0318870993796736,3.273657411336899,0.1700637098401785,0.0436070179566741,0.040092394687235355,0.026912274537608027,2.675117462873459,0.1664141956716776,0.040092394687235355
6,0.04073175834491849,0.027334487182088196,2.642908275127411,0.16756197437644005,0.04073175834491849,0.039137670304626226,0.02903607184998691,2.7845609188079834,0.16519124247133732,0.039137670304626226
7,0.04024850158020854,0.028522295644506812,2.853873550891876,0.1653161682188511,0.04024850158020854,0.039005181286484,0.02859057392925024,2.6922536194324493,0.164395559579134,0.039005181286484
8,0.041339858900755644,0.02821310074068606,2.7101649343967438,0.1655520722270012,0.041339858900755644,0.03852307656779885,0.027428022352978587,2.622733920812607,0.1638940442353487,0.03852307656779885
9,0.04156736936420202,0.029374860227108,3.1046809554100037,0.1667253915220499,0.04156736936420202,0.040531839709728956,0.027416007360443473,2.8069657683372498,0.1641753725707531,0.040531839709728956
10,0.04064693953841925,0.026962455362081528,2.6846237182617188,0.16546882316470146,0.04064693953841925,0.04011415597051382,0.028644075617194176,2.6136861443519592,0.16369232162833214,0.04011415597051382
11,0.039968153927475214,0.02897365391254425,2.812254875898361,0.1648028939962387,0.039968153927475214,0.04285410791635513,0.026847135741263628,2.85275661945343,0.16575296595692635,0.04285410791635513
12,0.041675948072224855,0.02655525179579854,2.797599971294403,0.16606383118778467,0.041675948072224855,0.04150802223011851,0.027593303006142378,2.4927004873752594,0.16280687414109707,0.04150802223011851
13,0.04192230198532343,0.02833130885846913,2.535289019346237,0.16386575251817703,0.04192230198532343,0.03908996703103185,0.026504989014938474,2.5486606657505035,0.1654372178018093,0.03908996703103185
14,0.039946396835148335,0.027678457088768482,2.8044314980506897,0.16537539660930634,0.039946396835148335,0.03802009066566825,0.028537131613120437,2.8150083422660828,0.16360636986792088,0.03802009066566825
15,0.03841193951666355,0.02810044086072594,2.650610715150833,0.16411459352821112,0.03841193951666355,0.03785126702859998,0.027438801480457187,2.5745741724967957,0.16440381668508053,0.03785126702859998
16,0.03767324332147837,0.02801209921017289,2.714394211769104,0.1645645759999752,0.03767324332147837,0.03765865275636315,0.02804082678630948,2.61654195189476,0.16414674185216427,0.03765865275636315
17,0.03818779205903411,0.027178963646292686,2.546690434217453,0.1657974161207676,0.03818779205903411,0.03786726202815771,0.027425687992945313,2.6947853565216064,0.16489136032760143,0.03786726202815771
18,0.03921691654250026,0.029521207325160503,2.8788610100746155,0.16446347162127495,0.03921691654250026,0.03746546199545264,0.026894406881183386,2.572041153907776,0.16442715376615524,0.03746546199545264
19,0.03772031143307686,0.02644455013796687,2.594057112932205,0.16642916575074196,0.03772031143307686,0.03743569040670991,0.027528455248102546,2.6017893850803375,0.1626314464956522,0.03743569040670991
20,0.03748983098194003,0.02792719448916614,2.6414854824543,0.16226964257657528,0.03748983098194003,0.03853585384786129,0.026899806689471006,2.694197356700897,0.16456570103764534,0.03853585384786129
21,0.03857243061065674,0.027210178785026073,2.6636144518852234,0.16512025892734528,0.03857243061065674,0.03868374694138765,0.0281044808216393,2.539606660604477,0.16189307533204556,0.03868374694138765
22,0.03963794093579054,0.027319375425577164,2.578274369239807,0.16902384907007217,0.03963794093579054,0.038827383890748024,0.02565944194793701,2.5591626167297363,0.16916150599718094,0.038827383890748024
