epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_loss
1,0.10401178244501352,0.1431466971989721,0.054558074567466974,0.0021506846096599475,0.10401178244501352,0.05830480623990297,0.03634403389878571,0.04338583676144481,0.0015502141977776773,0.05830480623990297
2,0.06031012116000056,0.03802373411599547,0.04553421516902745,0.0015279145154636353,0.06031012116000056,0.05939352000132203,0.03714086418040097,0.04630057024769485,0.0015095990602276288,0.05939352000132203
3,0.05823990190401673,0.03735523112118244,0.04463594616390765,0.001501140184700489,0.05823990190401673,0.05861379625275731,0.035082068061456084,0.04019505251199007,0.0015617306271451525,0.05861379625275731
4,0.0572649915702641,0.03625018266029656,0.04260188969783485,0.0015787565280334093,0.0572649915702641,0.05638237064704299,0.03574208135250956,0.04573626606725156,0.0015168141835602,0.05638237064704299
5,0.054907350335270166,0.03490499802865088,0.04388529900461435,0.0015606782180839218,0.054907350335270166,0.05503222765401006,0.03305437578819692,0.04061054438352585,0.0015981581091182306,0.05503222765401006
6,0.05459003569558263,0.03274958371184766,0.041042413329705596,0.0016347606288036332,0.05459003569558263,0.05295692291110754,0.03184901492204517,0.040920132072642446,0.0016103822345030494,0.05295692291110754
7,0.05330977216362953,0.031300575006753206,0.0395457511767745,0.0016293006046907976,0.05330977216362953,0.05243563069961965,0.0326760116731748,0.04161242814734578,0.0015806289375177585,0.05243563069961965
8,0.05385341914370656,0.03135092067532241,0.04096220643259585,0.0015808375901542604,0.05385341914370656,0.054260287433862686,0.027744553284719586,0.033300472889095545,0.001608615079021547,0.054260287433862686
9,0.055200523464009166,0.03325173060875386,0.041053509688936174,0.001528150067315437,0.055200523464009166,0.05387939838692546,0.03607568750157952,0.04555964842438698,0.001479234892030945,0.05387939838692546
10,0.051674323389306664,0.03089731582440436,0.040032391785643995,0.0014638522479799576,0.051674323389306664,0.05138632794842124,0.029035658109933138,0.03596747305709869,0.0015182457500486635,0.05138632794842124
11,0.05111990449950099,0.029473312199115753,0.03739496460184455,0.0015384902944788337,0.05111990449950099,0.05027367570437491,0.02910736110061407,0.03856091503985226,0.001471566742111463,0.05027367570437491
12,0.04990641865879297,0.028065995778888464,0.036178503884002566,0.0014807681000092998,0.04990641865879297,0.04930900037288666,0.026547808200120926,0.034142411197535694,0.001533365975774359,0.04930900037288666
13,0.05039118370041251,0.026846806053072214,0.03461832273751497,0.001549579479615204,0.05039118370041251,0.04950606054626405,0.0308120702393353,0.04009253089316189,0.0014768037108296994,0.04950606054626405
14,0.052529705222696066,0.030143706826493144,0.03966365987434983,0.0014588028425350785,0.052529705222696066,0.05120241339318454,0.02641648077405989,0.03176865738350898,0.001452371448976919,0.05120241339318454
15,0.051636346615850925,0.02878414047881961,0.03343484061770141,0.0015682730736443773,0.051636346615850925,0.04796902579255402,0.02787409198936075,0.03671186696738005,0.001446773145289626,0.04796902579255402
16,0.0497635209467262,0.03069490531925112,0.039490268332883716,0.0014816745097050443,0.0497635209467262,0.048453024588525295,0.025853435858152807,0.03231602790765464,0.001544535749417264,0.048453024588525295
17,0.04855028120800853,0.025904318084940314,0.03250371536705643,0.001500010912423022,0.04855028120800853,0.046721241204068065,0.025988442124798894,0.03466251841746271,0.0014476583528448828,0.046721241204068065
18,0.04712328943423927,0.024978713132441044,0.033833612222224474,0.0014836133777862415,0.04712328943423927,0.047445808071643114,0.02283740369603038,0.028323700069449842,0.0015270691146724857,0.047445808071643114
19,0.048208968713879585,0.02500510448589921,0.03372907522134483,0.0014789080087211914,0.048208968713879585,0.04535627318546176,0.022098920424468815,0.02896542986854911,0.0014763975705136545,0.04535627318546176
20,0.04646925861015916,0.023742004414089024,0.030881537008099258,0.0014477823569905013,0.04646925861015916,0.04421928804367781,0.02282773284241557,0.02996438043192029,0.0014382129120349418,0.04421928804367781
