epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_loss
1,0.07178399146534503,0.042454769465141,0.04801910701300949,0.0023822280267486347,0.16753663654625417,0.07429593432694674,0.03611207545734942,0.04985797617584467,0.002152223857701756,0.15622940041124822
2,0.058281782599166033,0.02931227051606402,0.03409313611127436,0.0022112174658104776,0.13784537979215383,0.0608732470870018,0.02979681722354144,0.03695434899069369,0.002041391652310267,0.13675160214304924
3,0.05499192772991955,0.02655585224670358,0.030560544037260114,0.002150221702089766,0.13034739254042507,0.05646478311158717,0.025901438674191014,0.029663919371087102,0.002001853668334661,0.12528122244402767
4,0.053545283118262885,0.02547500094003044,0.02926104148896411,0.0021248208984325175,0.127403252068907,0.05887555885128677,0.02651296311756596,0.0330544327897951,0.001955102692299988,0.12948501678183674
5,0.05254000871069729,0.024656083206646143,0.028391566110309213,0.0020872740701306613,0.1253399722725153,0.06267437628470361,0.02776419640984386,0.038879219559021294,0.0020339758452610113,0.13398754134774207
6,0.05180472319852561,0.024104965009493752,0.027760501217562704,0.0020638615797506647,0.12369042614102363,0.05023528249002993,0.022020368643570692,0.026744431192055343,0.0019009479976375588,0.11773037724196911
7,0.05143918368685991,0.023788251497084276,0.02756639665318653,0.0020555247798329217,0.122923201225698,0.04702953603118658,0.023525056053185837,0.029104121159762145,0.0019620273663895206,0.12331288199871779
8,0.05063216206617653,0.023364606531336905,0.02682799752149731,0.0020375114191265313,0.12123615649342537,0.049930307008326055,0.021912867159117014,0.025157623114064335,0.0019771319173742087,0.1180071827210486
9,0.05012686146516353,0.022914805711247026,0.026299300404731184,0.002027453331829747,0.12022331689298153,0.05101593101862818,0.022723606162471696,0.02662603958975524,0.0019563900897628626,0.11693617073819042
10,0.05002477133087814,0.022872524267062544,0.02637329479539767,0.0020168639749172145,0.11993956467695534,0.04991388550028205,0.022708947556093335,0.0267431415617466,0.0018825926621502732,0.11700907396152616
11,0.049650705341249705,0.022581096843117848,0.02597917566844262,0.002021430888940813,0.11903688928671181,0.04614282408263534,0.020896328972885386,0.022829303778707982,0.0018844866103609093,0.11355660900473595
12,0.04930804675444961,0.02218193160975352,0.025500607257708908,0.0020053465682431126,0.11808668966032565,0.04903975661844015,0.021684995426330716,0.02449687059735879,0.0018579251060145906,0.11391343714669347
13,0.049046888472512366,0.022187565518775956,0.025395815580384805,0.0020018002225551754,0.11773304269276559,0.04596268165390938,0.022183301832992584,0.02512481291894801,0.0018728297234338242,0.11790449431166053
14,0.04864823115710169,0.021786926538217812,0.024627883482025936,0.0019991221691307145,0.1166211439166218,0.04494186301250011,0.02056721659959294,0.02285734500270337,0.0018893369016586804,0.11251727942377329
15,0.048565204499289395,0.021748722607269882,0.0247928876709193,0.001996178457920905,0.11642394577339292,0.04801653034519404,0.02188933571917005,0.02503209948539734,0.0018795605038758366,0.11429499743506312
16,0.04820776065345853,0.021487034282530657,0.02430333014135249,0.0019881392769748344,0.11566410616412759,0.05353605047799647,0.0236445970996283,0.030755643232259898,0.0018754475664172787,0.12060666929930448
17,0.04781009958125651,0.021095726367784663,0.02360464617749676,0.0019837408408347984,0.11453819969668984,0.04541025962214917,0.020369666911428795,0.022716225567273797,0.0018413135276932734,0.11182442421093583
18,0.047585263828746976,0.02099914243631065,0.023348648199113087,0.001980147771566408,0.11414858532696963,0.047043353831395504,0.021157932655187325,0.024311222389806063,0.001846240011655027,0.11266040928661823
19,0.04712883150205016,0.02054988311463967,0.022468451325548814,0.0019823919029440733,0.11273152869194746,0.045962929632514714,0.020524905504425987,0.023298300972674043,0.0018453071572002956,0.1118278594687581
20,0.04682689052633941,0.02032199272280559,0.02223220789502375,0.0019759883380611426,0.11209972112812101,0.04573270135559142,0.021132016918854787,0.023849904912058264,0.0018330882713780737,0.11367568105459214
21,0.04629174804966897,0.019835880660568364,0.02129518589703366,0.0019796551730833015,0.11084839662909508,0.046393707026727495,0.02069366408046335,0.023148445289116353,0.0018408806838851887,0.11354850528761745
22,0.04598061858024448,0.01941148144681938,0.020418785729445516,0.0019728376820567065,0.10957111383974552,0.04966884590219706,0.02328708583372645,0.02777792532928288,0.0018427004720433615,0.11681347860023379
23,0.04535224904399365,0.018932019777828827,0.019592908708378674,0.0019631052721524613,0.1083255349546671,0.05133776324801147,0.023913422246696427,0.029349373632576316,0.0018368249014019966,0.11956810511648655
24,0.044699320071376863,0.018311437398660927,0.01845617176545784,0.0019629450734937564,0.1061477070786059,0.04728451145812869,0.021151535359676926,0.02455494065536186,0.0018360271175333765,0.11350729426369072
25,0.044126433478668334,0.017927347774384542,0.017529729319503532,0.001958050329762045,0.1051668389160186,0.04847531323321164,0.02198342360323295,0.025440770220011472,0.0018392589800350833,0.11471931705251336
