epoch,train_logmel_l1,train_logmel_mse,train_energy_l1,train_onset_l1,train_loss,val_logmel_l1,val_logmel_mse,val_energy_l1,val_onset_l1,val_loss
1,0.17321785539388657,0.14679484069347382,8.047647953033447,0.7999819219112396,0.17321785539388657,0.11597785539925098,0.10274052573367953,8.909615278244019,0.33799929171800613,0.11597785539925098
2,0.09257508162409067,0.08759520528838038,6.1973307728767395,0.30582747980952263,0.09257508162409067,0.07496675476431847,0.07470028288662434,4.958445876836777,0.2727792337536812,0.07496675476431847
3,0.07777089904993773,0.07868613721802831,5.579908549785614,0.26618221774697304,0.07777089904993773,0.06999085657298565,0.07998200668953359,5.385993242263794,0.259860560297966,0.06999085657298565
4,0.07462890865281224,0.07775304547976702,5.326344966888428,0.26237265206873417,0.07462890865281224,0.07270342484116554,0.07441713870503008,4.989472270011902,0.26144993118941784,0.07270342484116554
5,0.07390048634260893,0.08187076635658741,5.567999303340912,0.26247621327638626,0.07390048634260893,0.07537900935858488,0.0827180587220937,5.950088202953339,0.2614615075290203,0.07537900935858488
6,0.07096323976293206,0.07816617656499147,5.45756995677948,0.2592208534479141,0.07096323976293206,0.0703413668088615,0.07521217386238277,5.077951341867447,0.2619536519050598,0.0703413668088615
7,0.07258758414536715,0.07503689313307405,5.162204056978226,0.2659120913594961,0.07258758414536715,0.07027758425101638,0.0740358296316117,5.066931396722794,0.2632560729980469,0.07027758425101638
8,0.07050637155771255,0.07812979444861412,5.337312281131744,0.2596607133746147,0.07050637155771255,0.07033298723399639,0.08069722494110465,5.457272171974182,0.25880810245871544,0.07033298723399639
9,0.06871856795623899,0.07671015057712793,5.172726482152939,0.25764393620193005,0.06871856795623899,0.0700154616497457,0.07305807922966778,5.049573689699173,0.26623446121811867,0.0700154616497457
10,0.06986729428172112,0.0737524637952447,5.092594802379608,0.26605742052197456,0.06986729428172112,0.06890119519084692,0.07492082915268838,5.136466354131699,0.25817385874688625,0.06890119519084692
