epoch,train_logmel_l1,train_logmel_mse,train_energy_l1,train_onset_l1,train_loss,val_logmel_l1,val_logmel_mse,val_energy_l1,val_onset_l1,val_loss
1,0.10525651814043521,0.11344100503623486,7.011841457366943,0.4021430010199547,0.10525651814043521,0.08018626851961017,0.09137116125784814,5.62955798625946,0.2976828995347023,0.08018626851961017
2,0.0898719830289483,0.10738469912856817,6.587804514884949,0.3509511485993862,0.0898719830289483,0.0786176361888647,0.09199408661108464,5.910111048221588,0.2962582444399595,0.0786176361888647
3,0.08664370138943195,0.10626561795175075,6.580938072681427,0.3291088642477989,0.08664370138943195,0.07752775752916932,0.09139214006718248,5.884064317941665,0.2819049933552742,0.07752775752916932
4,0.08506295174360275,0.10510749285668135,6.588134999275208,0.32120731568336486,0.08506295174360275,0.0767041196115315,0.09135835338383913,6.008960682153702,0.28985126279294493,0.0767041196115315
5,0.08480182993412018,0.10457150127366185,6.587011753559112,0.3190871278047562,0.08480182993412018,0.076826561819762,0.09145875376649201,6.009888533353806,0.2861894776672125,0.076826561819762
6,0.08425665304809808,0.10396442807838321,6.601449543476105,0.31734606632590295,0.08425665304809808,0.07667259015142917,0.0913690690882504,6.046462525129318,0.29012421004474165,0.07667259015142917
7,0.0842054200321436,0.1038588637560606,6.60210664844513,0.31614746183156966,0.0842054200321436,0.07661272812634706,0.09137936948332935,6.029096043109893,0.2888369611650705,0.07661272812634706
8,0.08413306677341462,0.10342374838888645,6.589196663379669,0.3141837870776653,0.08413306677341462,0.07670584565028549,0.09132664712145924,6.034025008678436,0.28836796261370184,0.07670584565028549
9,0.08391176707297564,0.1031252446398139,6.584927748680115,0.3140028257369995,0.08391176707297564,0.07656152728945016,0.09122891381848604,6.003149758577347,0.28958297371864317,0.07656152728945016
10,0.08390061732381582,0.10298494413122534,6.577026867389679,0.3148350817859173,0.08390061732381582,0.07673656884580851,0.09112988034728914,5.977816482782364,0.28966900072991847,0.07673656884580851
