epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_loss
1,0.07335947102122009,0.04248047382896766,0.04525794895971194,0.0023836989544215614,0.16798066491633654,0.062132300660014156,0.030763997263275087,0.03465403789654374,0.0021493165580614005,0.13983539633452893
2,0.06108260401338339,0.030781411718111485,0.03459581126086414,0.0022195176182431167,0.14169592402875422,0.0536246673297137,0.02790465977275744,0.030628417883999646,0.0020671257679350675,0.13431006360799075
3,0.05862000146321952,0.028961115466896444,0.03281451805727556,0.002178545626375126,0.1369969467110932,0.051843604012392464,0.026394922954495997,0.029381232566665857,0.0020156915168627167,0.13013448636978864
4,0.05617130852304399,0.02717426596605219,0.03024614948546514,0.0021525648931565227,0.13239908853918314,0.05293339464813471,0.028015524564543738,0.03382270393194631,0.002031713036412839,0.1365483959764242
5,0.05614883359055966,0.027097943670349196,0.030400738893076776,0.0021354152325657196,0.13203728160075842,0.0521122274082154,0.02460237184073776,0.026354425626341254,0.0019771592947654426,0.12337259694933891
6,0.05532583561353385,0.02653114227880724,0.02970009229471907,0.0021145523026934827,0.13073591681197286,0.05469011214561761,0.026121603141073136,0.029201473658904433,0.0019893169456918257,0.12593934193253517
7,0.055032269155606627,0.026247147283982485,0.029660797965712846,0.0020958306035317948,0.129693660736084,0.051054573142901065,0.02454598080017604,0.026759898702148347,0.0019438408591668122,0.12462381111457944
8,0.05435251969192177,0.025778743655188008,0.028923800392542033,0.002085417703870917,0.12883293403498827,0.051233802093192934,0.024101795693859458,0.02859770000912249,0.0019466981204459444,0.12407021941617132
9,0.05386350062210113,0.025374365594936533,0.028571136665763334,0.002071353687089868,0.12731683421507478,0.053680267063900826,0.025222850195132197,0.028963188054040075,0.0019623739177768583,0.12568973360583185
10,0.053664377944543956,0.02519962481735274,0.02820702431583777,0.0020659614472533575,0.12685514755174518,0.04975766332354396,0.02338541130302474,0.02586831065360457,0.0019578308016934896,0.12087499756366014
11,0.053481092936359345,0.02504525627568364,0.028281231158878654,0.0020642675959388727,0.1265141246765852,0.05081700604408979,0.023553241591434924,0.026058194390498102,0.0018943271211173851,0.1222416684962809
12,0.05322899151500315,0.02485526075027883,0.028179339356254787,0.0020575880578835495,0.12597446536459028,0.054520180961117146,0.024455210461746903,0.02923720100428909,0.0019057208456797524,0.1231176002137363
13,0.05269383234810084,0.024368752475595102,0.027376479518134145,0.0020474236708541865,0.1244793745316565,0.052270714286714794,0.024649319968884812,0.026561342384666203,0.0019138673004636076,0.12286077454686165
14,0.05281193741969764,0.024498954076087102,0.027798854023683817,0.002047572244890034,0.12492844181135297,0.05382521103136242,0.0246896905452013,0.02963030686369166,0.0019194784478168004,0.12433420203626155
15,0.05230506262369454,0.02410352725768462,0.027034351408481597,0.0020429907463258134,0.12352377025783062,0.05071064789779484,0.02342943941592239,0.02574124488979578,0.0019038104437640868,0.12011730326339602
16,0.0522727470966056,0.024165104972431437,0.027174718774389477,0.0020344525849213826,0.12407375203073025,0.05481616494245827,0.02530785050941631,0.02976468666922301,0.0019180840949411504,0.12402882741764187
17,0.05217475338093937,0.023942896985448898,0.027146943436935543,0.0020374123807414433,0.12366015017032624,0.04947236471809447,0.022933350591920316,0.02644700277596712,0.001909982183133252,0.12027504274621606
18,0.05205424591805786,0.023970639477018267,0.027251331735402347,0.0020355013400840108,0.12337244410254061,0.04869136223103851,0.023739264520118014,0.027624459066428245,0.0019228965662478003,0.12326218038797379
19,0.05185961460974067,0.023773939863662236,0.026844482105690987,0.0020304565617407207,0.12278389667160809,0.05030198401305824,0.022886651125736533,0.025885991386603566,0.0019043512454663869,0.11906305460259319
20,0.05187062577577308,0.023776087455567904,0.02712371027795598,0.00203071522526443,0.12312511406652629,0.048587928260676566,0.02327414451399818,0.02614843393326737,0.0019093251980666537,0.12086161430925131
21,0.05145842081028968,0.023472124666906895,0.026319454031065108,0.0020225423700467216,0.1219213172569871,0.050312321493402125,0.023015856528654694,0.025813211374916135,0.0019118307779717725,0.11933385087177158
22,0.051444671092554926,0.02341338596539572,0.026485826211050154,0.0020214470667997376,0.12185466066747903,0.04890083780512214,0.022788571668788792,0.02559416332980618,0.0018861852650297805,0.11908901983872056
23,0.05149115336034447,0.023492413743166254,0.02661827908991836,0.0020186704748193732,0.12196656097006053,0.052268140483647585,0.023399904440157115,0.028043194208294153,0.0018893608562939334,0.1205100417137146
24,0.05117592600733042,0.02332401630608365,0.026256714144255965,0.0020207735498843247,0.12157892908900976,0.04897272266913205,0.02249502081889659,0.025052947737276555,0.0018861201516119763,0.11795759426429868
25,0.05104731680825353,0.023183104796800764,0.026094739908585324,0.002011736641085008,0.1211231931708753,0.05346400823444128,0.02411393526243046,0.029178874895442276,0.0019109916470188182,0.12220485115423799
26,0.050948300652205944,0.023021382264327258,0.025990342632867397,0.002015243079571519,0.12062330064550042,0.05018866477534175,0.022453294745646418,0.025493635239545256,0.0019091772961837706,0.11795405451208353
27,0.05096906014997512,0.02312785816472024,0.026215077713597566,0.0020095278516528195,0.12099021771550178,0.049662802247330544,0.02302570123458281,0.02528538463404402,0.0018853767350083218,0.11871196066960693
28,0.05083089301176369,0.02302368071465753,0.02580311543913558,0.002014848711696686,0.12055123423226177,0.05253446615766734,0.024206462660804392,0.02852819865103811,0.0019025263751973399,0.12083820391446352
29,0.05069891376886517,0.02283837706875056,0.025549745648866518,0.0020110673266171943,0.12007566486671567,0.048077959162183104,0.02342098874039948,0.027907365675782784,0.0018902593015809543,0.12248114502057433
30,0.050478721527848394,0.022703440886805766,0.025404864040203392,0.0020090331442770546,0.11967188236303627,0.05720774377696216,0.02632731609744951,0.03340765975881368,0.0019229663565056398,0.12564951477572323
31,0.05059837471228093,0.0228224940598011,0.025583755678031592,0.002012908362085,0.12001255015283822,0.049066102290526034,0.02258260328671895,0.025168488509953024,0.0018670485143957194,0.11794158820062876
32,0.05055459050647915,0.022723608511034398,0.025545831414172427,0.0020120225332502743,0.11977290965244174,0.05314151952974498,0.02399956069421023,0.028599584442563355,0.0018973775760969148,0.12175160432234407
