epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_loss
1,0.06127177992090583,0.031224509398639202,0.03439174543898553,0.00218756839716807,0.14338973424732684,0.05366077215969563,0.02751987623143941,0.02984453136101365,0.002046186780789867,0.1337703827917576
2,0.05461570074930787,0.02553866175059229,0.029061692386679352,0.0020579927888931706,0.1295331005960703,0.051421591967344284,0.024351074742153287,0.026946746848523617,0.0019772079561371355,0.12438062666356564
3,0.05300235596448183,0.024383606988936664,0.027751700696349146,0.0020201868509175254,0.12620271639972924,0.0514039381891489,0.02362726301886141,0.027107127940282225,0.001959428545087576,0.12276925754547119
4,0.052127611282467845,0.02373361406419426,0.02695098615773022,0.0019968430649489164,0.12427889888435602,0.05078328932449221,0.023435556483455,0.026227669751271606,0.0019080153871327639,0.12159924404323101
5,0.05168626977652312,0.023417737598530948,0.026643683935515583,0.001983783998247236,0.1233849733531475,0.04922743755578995,0.023601241663098335,0.027576449654996397,0.0019387993140844628,0.12451328916847706
6,0.05112498745061457,0.023042936500627546,0.0262209211550653,0.001974515059357509,0.12233794834315777,0.04909312605112791,0.022704512635245918,0.025917974952608346,0.0019109803376486526,0.12002727197110653
7,0.05074815811812878,0.022804556047730146,0.025939867354370653,0.001969325946061872,0.12156367519646882,0.05033700157701969,0.02286279108375311,0.025643816070631147,0.0018757554386975243,0.11993941074609757
8,0.05034345798268914,0.022503668252937495,0.025562587560527025,0.001959999296721071,0.12067805065065622,0.04823117770254612,0.022688525345176458,0.02655515745282173,0.0019073698587017134,0.12082331599295139
9,0.05023531007394195,0.022430944043397905,0.025490357596985997,0.0019578737368574368,0.12031605186164379,0.047965331435203554,0.02249858673568815,0.02571883523464203,0.0018789692383725195,0.11968459571897984
10,0.050036564506962894,0.022282844781130552,0.02538475686982274,0.0019535708879120646,0.1200687687203288,0.04960947472602129,0.022224880643188952,0.026214375687763095,0.0019100178118096665,0.1189492639452219
11,0.049815333906561135,0.02213218913618475,0.025190769963897765,0.0019503144457470626,0.11948155176341534,0.05046470309793949,0.0227037753239274,0.0266802846994251,0.0018793789569754153,0.11900097952783108
12,0.04965313450396061,0.02200633458327502,0.024987605699524282,0.0019471783362329006,0.11920454632639885,0.04866610737890005,0.02205006974376738,0.025355285957455634,0.001874300535651855,0.11793845669925213
13,0.04956034072935581,0.021956506421975792,0.024931334078498183,0.0019449450640939177,0.11889651763886214,0.047755711127072574,0.022074221776798367,0.025303356444463136,0.001878203438827768,0.11874686576426029
14,0.04942772023230791,0.02184379209391773,0.024829921143501996,0.0019436267808778211,0.11868920434713363,0.04752356368675828,0.02245699323900044,0.026374677300453186,0.0019318907718406991,0.12032808743417263
15,0.0493057561121881,0.02175756671372801,0.02466449495200068,0.0019406196690397338,0.11830134918391705,0.049643989957869054,0.022096424121409653,0.026060739807784557,0.0018892007250105962,0.11756094805896282
16,0.049219523464143274,0.021706629803031684,0.02470793163590133,0.0019393175939563662,0.118251627227664,0.04819124999642372,0.022000196507200597,0.024712072690948845,0.0018653261571889743,0.11760140079259872
17,0.04905302324593067,0.02157522823046893,0.024503322483226658,0.0019362208373378963,0.11784201895296574,0.04849994458258152,0.021911677275784313,0.02492700364254415,0.0018632161937421187,0.11714159500598907
18,0.04887643378153443,0.021477673693187534,0.024270101790875197,0.001935427923500538,0.11745819477140904,0.0475555420666933,0.021906610796228052,0.025102505886927248,0.0018798531935317441,0.11795521365106106
19,0.04890241731330752,0.021474244477786123,0.024354381433688104,0.001932249137875624,0.11759186260700226,0.046998847398906946,0.021940177842974664,0.025425542913377286,0.0018831103823613376,0.11832469388842583
20,0.048826082044094804,0.021403746246919035,0.024266272816620766,0.0019334977481514216,0.11733867323994636,0.0481476359590888,0.021899179114028812,0.024839622562751174,0.001868708205060102,0.11689996360242366
21,0.04872044961676002,0.02134131806958467,0.024188410180062056,0.0019338189570698887,0.1170638309314847,0.04759115303307772,0.02191636402811855,0.02504214647039771,0.0018612429621862247,0.1176484095454216
