epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,train_initial_stft_l1,train_initial_stft_mse,train_initial_energy_l1,train_initial_onset_l1,train_initial_spectral_convergence,train_initial_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss,val_initial_stft_l1,val_initial_stft_mse,val_initial_energy_l1,val_initial_onset_l1,val_initial_spectral_convergence,val_initial_loss
1,0.036994599183183166,0.013179556271457114,0.010838156116288156,0.0017863973273721059,0.490277906113863,0.13705104427188636,0.03752125204382464,0.013293537056911737,0.01097980566774495,0.001792626160988584,0.49660785215497016,0.1384809835612774,0.0440204691067338,0.019869362150318922,0.0229187132101506,0.0017875278383144178,0.6323755781650543,0.17128253819048406,0.04447423173487187,0.019908693466801197,0.022950170556548983,0.0017926388066262008,0.6299651948809624,0.17162212458252907
2,0.036636291873827574,0.012922822809289209,0.010322760284878314,0.0017803361970640252,0.4819303258359432,0.1352158256262541,0.03706695074439049,0.013003857762087137,0.0103047065152321,0.0017871118256472982,0.48803821962475774,0.13659767667502165,0.044292000589892265,0.020007923544384538,0.02309314518747851,0.0017891974700323771,0.6329223405122757,0.17151628528535365,0.04455652247183025,0.02001478720828891,0.02304518665932119,0.0017934528380574193,0.6310411246418953,0.1717728255689144
3,0.03642112688720226,0.01276823652772,0.010022750187292696,0.0017768582837888972,0.4749846095204353,0.13392651041448117,0.03684923306377605,0.012855182756925933,0.009968081703828648,0.001784984435798833,0.48112509388923647,0.1353570577904582,0.04409176943451166,0.019975764634553344,0.02293866952182725,0.0017912199113634415,0.6309195193648338,0.17136373917758466,0.044360226282849906,0.020038441682700067,0.022909615541342646,0.0017925432237389032,0.630592235326767,0.1719118909239769
4,0.03626310234628618,0.01264937280541053,0.009808904713764787,0.0017737618046288844,0.46965745747685433,0.13290405692458152,0.036673333239369096,0.012737734031991568,0.009702967397077008,0.0017829265289357864,0.4761238332211971,0.1344210083335638,0.04436668945662677,0.02012265202915296,0.02313601937238127,0.001790000395703828,0.6371469466090203,0.1721511213183403,0.04458846626058221,0.020105924483388663,0.022990016164723785,0.001793728960416047,0.6346297629475594,0.17237732815742493
