epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss,val_base_stft_l1,val_base_stft_mse,val_base_energy_l1,val_base_onset_l1,val_base_spectral_convergence,val_base_loss
1,0.031629318837076426,0.010753345908597112,0.00893381389323622,0.0013739977439399809,0.5037032589316368,0.05681448243558407,0.031180616933852434,0.010710711474530399,0.008554392028599977,0.0013693993823835626,0.5027193427085876,0.056316585280001163,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
2,0.031020051799714565,0.010684981127269566,0.008599399705417454,0.001369939447613433,0.4986739009618759,0.05595374759286642,0.030740608926862478,0.01061646593734622,0.008415678166784346,0.0013677434326382354,0.5022183582186699,0.055851527489721775,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
3,0.03072072798386216,0.010636176797561347,0.008428687113337219,0.0013683551514986902,0.5075809583067894,0.05609977804124355,0.030424198135733604,0.010561236180365086,0.008259523310698569,0.0013678198301931843,0.5014714151620865,0.05549776926636696,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
4,0.030321668833494186,0.010534422239288688,0.00830093608237803,0.0013678005489055067,0.498067744076252,0.055225055664777756,0.03007767302915454,0.010491637280210853,0.00838856806512922,0.0013685379963135347,0.5022312253713608,0.05518923420459032,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
5,0.030060598626732826,0.010481803328730166,0.00850537174846977,0.0013684546574950218,0.499089352786541,0.055015066638588905,0.02992120012640953,0.010424860054627061,0.008376040612347424,0.0013668754691025242,0.501204326748848,0.05498141795396805,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
6,0.029965871945023537,0.01039921457413584,0.008323854999616742,0.0013665883452631533,0.4990110695362091,0.05491642467677593,0.029784587677568197,0.010339310858398676,0.008389249560423195,0.0013661325356224552,0.5009045079350471,0.05482981167733669,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
7,0.029810376930981874,0.010367714683525264,0.008549649734050035,0.0013658195530297235,0.49853312224149704,0.05473703145980835,0.02968738554045558,0.010415973956696689,0.008890039985999465,0.0013661260600201786,0.5000619813799858,0.05469048582017422,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
8,0.029758738819509745,0.010454352013766766,0.008920079097151756,0.0013662801939062774,0.4984489530324936,0.05468118656426668,0.029641988221555948,0.01034953584894538,0.008526820340193808,0.0013636864168802276,0.4982689544558525,0.05455543752759695,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
9,0.029685968067497015,0.010343482019379735,0.00855671800673008,0.0013634406204801053,0.49099989980459213,0.05423596315085888,0.029606293886899948,0.010286601260304451,0.008438869728706777,0.0013642176345456392,0.495817132294178,0.054397149942815304,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
10,0.029753481969237328,0.01036332140211016,0.00838813406880945,0.001365169882774353,0.49799132347106934,0.0546530494466424,0.029571276158094406,0.010283756884746253,0.008247994119301438,0.0013620278186863288,0.4941142499446869,0.05427698791027069,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
11,0.02964807115495205,0.010279456269927323,0.008675796329043806,0.001362630631774664,0.5003085359930992,0.05466349795460701,0.02947950456291437,0.01021635311190039,0.008505263365805149,0.0013632483751280233,0.49880245327949524,0.054419626481831074,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
12,0.02955521270632744,0.0102982132229954,0.008640249958261847,0.0013649924658238888,0.49809033423662186,0.054459729231894016,0.029428391251713037,0.01028974016662687,0.00860801781527698,0.0013649098400492221,0.49421606957912445,0.05413919594138861,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
13,0.029472182039171457,0.010267759906128049,0.008546378463506699,0.0013633766502607614,0.4948152080178261,0.054212942719459534,0.02937494497746229,0.010185522260144353,0.0082459959667176,0.0013617096556117758,0.49141447991132736,0.05394567083567381,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
14,0.029451840091496706,0.010211983579210937,0.008328893105499446,0.0013614834751933813,0.48886096477508545,0.05389488860964775,0.029408558271825314,0.010220155934803188,0.008228428894653916,0.0013616817013826221,0.487933911383152,0.05380525439977646,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
15,0.029398320708423853,0.010247662314213812,0.008524330332875252,0.0013624121493194252,0.48362620174884796,0.05357963126152754,0.029202086851000786,0.010128152556717396,0.008378166472539306,0.0013621328835142776,0.48635052144527435,0.05351961310952902,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
16,0.029249574523419142,0.010138337966054678,0.008430385845713317,0.0013617280055768788,0.48429469019174576,0.0534643093124032,0.02926140883937478,0.010189629043452442,0.008139162207953632,0.0013611297617899254,0.4820393696427345,0.053363378159701824,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
17,0.029233442153781652,0.010130636626854539,0.008379907812923193,0.0013606568390969187,0.4878250062465668,0.053624692372977734,0.029056162107735872,0.009987449273467064,0.008158695651218295,0.0013605094572994858,0.4788326770067215,0.05299779586493969,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
18,0.02913586050271988,0.010072850855067372,0.008262602612376213,0.0013606280263047665,0.4852779135107994,0.053399755619466305,0.029097468126565218,0.009991485509090126,0.008062763256020844,0.001360601992928423,0.4811798855662346,0.05315646156668663,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
19,0.029168353881686926,0.010020303074270487,0.008087605470791459,0.0013626566505990922,0.4855836108326912,0.05344753433018923,0.028990789782255888,0.009958941373042762,0.008284200564958155,0.0013632702030008659,0.4748210608959198,0.052731841802597046,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
20,0.029078629333525896,0.010111281066201627,0.008895214647054672,0.0013636763906106353,0.47784218937158585,0.052970740012824535,0.028924208134412766,0.009950035135261714,0.008334428770467639,0.0013612648472189903,0.47580457478761673,0.05271443724632263,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
21,0.029015544336289167,0.009955150773748755,0.008113782620057464,0.001360837632091716,0.4786614403128624,0.052948616445064545,0.029065588023513556,0.009927149745635688,0.008014059043489397,0.001362367271212861,0.4697904884815216,0.05255511309951544,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
22,0.029137945268303156,0.009940950316376984,0.008175929193384945,0.001362549519399181,0.48201150447130203,0.053238520398736,0.028885886073112488,0.009934187051840127,0.008068942814134061,0.0013629482709802687,0.46688923984766006,0.052230349741876125,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
23,0.029209021013230085,0.010219168267212808,0.008199489559046924,0.0013633435009978712,0.4714437425136566,0.05278120841830969,0.029031458776444197,0.009963438496924937,0.007919165189377964,0.0013606693391920999,0.47337913513183594,0.05270041525363922,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
24,0.0291006644256413,0.00995738129131496,0.008462259196676314,0.0013613231421913952,0.48689596354961395,0.05344546306878328,0.028840682934969664,0.009902754216454923,0.008414449286647141,0.0013605779968202114,0.47548217326402664,0.05261479318141937,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
25,0.029028877150267363,0.010090011521242559,0.008447564207017422,0.0013612720358651131,0.47788582742214203,0.05292316805571318,0.028933530673384666,0.010040288791060448,0.008065982488915324,0.0013592108152806759,0.47471822053194046,0.052669442258775234,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
26,0.028921515680849552,0.009978697402402759,0.00822914659511298,0.0013600880047306418,0.4753037393093109,0.05268670246005058,0.02876818273216486,0.009813042008318007,0.008044656016863883,0.0013582844840129837,0.4738227427005768,0.052459320053458214,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
27,0.028825193643569946,0.00982100993860513,0.008079424151219428,0.0013585878623416647,0.46926282346248627,0.05228833481669426,0.028751513455063105,0.009849553229287267,0.008035770035348833,0.0013582777319243178,0.467912495136261,0.05214713979512453,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
28,0.028840830083936453,0.009892237256281078,0.008206713944673538,0.0013580477534560487,0.4771358519792557,0.05269762221723795,0.02874218299984932,0.009751874138601124,0.007797701167874038,0.0013578511716332287,0.4623494893312454,0.05185965821146965,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
29,0.02879334194585681,0.009785339119844139,0.007818532059900463,0.0013581674138549715,0.4584788456559181,0.05171728413552046,0.028636189177632332,0.009732915554195642,0.007822748739272356,0.0013585278793470934,0.4563419818878174,0.05145328864455223,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
30,0.02866382384672761,0.009729920187965035,0.007967831450514495,0.0013584328989963979,0.4571928083896637,0.05152346473187208,0.02855673572048545,0.009666774072684348,0.008084193803369999,0.0013593989715445787,0.450582817196846,0.051085878163576126,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
31,0.028644581325352192,0.009733156417496502,0.00806144264061004,0.0013612992770504206,0.46618635207414627,0.051953899674117565,0.02851086063310504,0.009544759057462215,0.00793367950245738,0.001361487084068358,0.45269008725881577,0.05114536453038454,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
32,0.028615806717425585,0.00971367338206619,0.008108832174912095,0.0013600564416265115,0.4546126574277878,0.051346439868211746,0.02848757477477193,0.009673941181972623,0.00803585967514664,0.001358547800919041,0.4473055526614189,0.05085285287350416,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
33,0.028750584926456213,0.00975854299031198,0.008062368957325816,0.0013584613625425845,0.4626410976052284,0.051882640458643436,0.028572179842740297,0.009641092619858682,0.007592696929350495,0.0013578105717897415,0.44497524946928024,0.05082094296813011,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
34,0.028553062584251165,0.009608419495634735,0.007726361625827849,0.001357831060886383,0.44800129532814026,0.05095312837511301,0.028384685050696135,0.009512686170637608,0.008051743381656706,0.001359253452392295,0.44746537506580353,0.05075795575976372,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
35,0.028530816081911325,0.009665795369073749,0.00807449349667877,0.0013596600329037756,0.4559623897075653,0.05132893659174442,0.028303404338657856,0.009491335484199226,0.007910199463367462,0.0013592446339316666,0.4378720298409462,0.05019700527191162,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
36,0.028412718791514635,0.009544615051709116,0.007978788344189525,0.0013586505956482142,0.45353903621435165,0.051089671440422535,0.02840279508382082,0.0095693024341017,0.007640311261638999,0.0013567859277827665,0.4392022117972374,0.05036290641874075,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
37,0.028421722818166018,0.009546516695991158,0.007554878713563085,0.0013575518678408116,0.44479773193597794,0.05066160950809717,0.028242878150194883,0.009388554841279984,0.0076739601790905,0.0013590690796263516,0.4359030947089195,0.05003803316503763,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
38,0.028318423312157393,0.009516567108221352,0.007807052577845752,0.0013564478140324354,0.44298602640628815,0.05046772584319115,0.0281307240948081,0.009441523347049952,0.007737210136838257,0.0013565305416705087,0.4333103522658348,0.04979624226689339,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
39,0.02817332255654037,0.009406157943885773,0.007791013573296368,0.0013577454228652641,0.43950870633125305,0.05014875903725624,0.028052943758666515,0.009273340227082372,0.0074794761603698134,0.0013571427116403356,0.4263913258910179,0.049372510984539986,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
40,0.028310490772128105,0.009390355320647359,0.007543486775830388,0.0013547518756240606,0.44696179032325745,0.05065858084708452,0.028091454412788153,0.009374039713293314,0.007816296420060098,0.001356485256110318,0.43673384189605713,0.04992814548313618,0.03153642825782299,0.010831114836037159,0.00959892338141799,0.0013756426778854802,0.5018264576792717,0.05662775132805109
